Issue Id,Project,Tags,Summary,Reporter,Created,Updated,Resolved,Priority,Type,Assignee,Stage,Component,Spent time,Estimation,Description,Votes
,TMD,,API,,,,,Critical,Epic,,Backlog,API,,,"API layer for integrating Testmate with CI/CD systems and external tooling, including test management, labels, execution and results.",
,TMD,,Backend,,,,,Critical,Epic,,Backlog,Backend,,,"Laravel backend for the core Testmate application, including projects, tests, reusable functions, runs, results, selectors and test management.",
,TMD,,Frontend,,,,,Critical,Epic,,Backlog,Frontend,,,"Vue.js frontend for the core Testmate application, providing the plain-English test management and execution experience.",
,TMD,,API authentication with API keys,,,,,Normal,Feature,,Backlog,API,,,Provide secure API-key authentication for CI/CD systems and external integrations.,
,TMD,,Create tests via API,,,,,Normal,Feature,,Backlog,API,,,Allow external systems to create and define Testmate tests through an authenticated API.,
,TMD,,Get test run history via API,,,,,Normal,Feature,,Backlog,API,,,Allow external systems to retrieve historical runs and their results for reporting and CI/CD workflows.,
,TMD,,Get test run results via API,,,,,Normal,Feature,,Backlog,API,,,"Allow CI/CD systems and external tools to retrieve run status, step results, failures and screenshots.",
,TMD,,Get tests via API,,,,,Normal,Feature,,Backlog,API,,,Allow external systems to retrieve test definitions and their metadata through the API.,
,TMD,,Manage labels via API,,,,,Normal,Feature,,Backlog,API,,,"Allow labels to be created, assigned, removed and retrieved through the API.",
,TMD,,Run individual tests via API,,,,,Normal,Feature,,Backlog,API,,,Allow CI/CD systems to trigger a specific test through the API.,
,TMD,,Run tests by label via API,,,,,Normal,Feature,,Backlog,API,,,Allow CI/CD systems to trigger all tests matching one or more labels.,
,TMD,,Update tests via API,,,,,Normal,Feature,,Backlog,API,,,"Allow external systems to update test definitions, steps and metadata through the API.",
,TMD,,API run queue,,,,,Normal,Feature,,Backlog,"API, Backend",,,Provide backend support for accepting test execution requests from the API and tracking their state.,
,TMD,,CI/CD run selection,,,,,Normal,Feature,,Backlog,"API, Backend",,,Provide backend support for selecting tests by labels or other criteria when triggered by CI/CD.,
,TMD,,Persist test labels,,,,,Normal,Feature,,Backlog,"API, Backend",,,"Store labels against tests so they can be used for organisation, filtering and CI/CD selection.",
,TMD,,Persist test metadata,,,,,Normal,Feature,,Backlog,"API, Backend",,,"Store test metadata such as name, description, labels and other configuration needed by the application and API.",
,TMD,,Persist test runs and results,,,,,Normal,Feature,,Backlog,"API, Backend",,,"Store test run status, step results, failure information and associated screenshots for later inspection and API access.",
,TMD,,Display API-managed labels,,,,,Normal,Feature,,Backlog,"API, Frontend",,,Show labels managed through the API in the Testmate interface and allow users to understand which tests they select.,
,TMD,,Display CI/CD run status,,,,,Normal,Feature,,Backlog,"API, Frontend",,,"Show runs triggered through the API, including their status, results and failures.",
,TMD,,Expose API-friendly test metadata,,,,,Normal,Feature,,Backlog,"API, Frontend",,,Present test and label information in the UI in a way that makes API and CI/CD usage understandable to users.,
,TMD,,Function data model,,,,,Normal,Feature,,Backlog,Backend,,,Provide the backend data model for reusable functions and their relationships to tests.,
,TMD,,Selector data model,,,,,Normal,Feature,,Backlog,Backend,,,Store selectors and their relationships to test steps so selector usage can be tracked.,
,TMD,,Test data model,,,,,Normal,Feature,,Backlog,Backend,,,"Provide the backend data model for storing tests, steps, metadata and execution configuration.",
,TMD,,Create and manage tests,,,,,Normal,Feature,,Backlog,"Backend, Frontend",,,"Allow users to create, edit, organise and delete tests using a plain-English representation of their steps.",
,TMD,,Edit broken selector,,,,,Normal,Feature,,Backlog,"Backend, Frontend",,,Allow users to replace a broken selector directly from the failed test step without searching through generated test code.,
,TMD,,Edit test steps,,,,,Normal,Feature,,Backlog,"Backend, Frontend",,,Allow users to modify individual test steps without needing to edit Playwright or other generated source code.,
,TMD,,Failure screenshots,,,,,Normal,Feature,,Backlog,"Backend, Frontend",,,Clearly associate screenshots with failed steps so users can diagnose failures without reading generated source code.,
,TMD,,Filter and organise tests by labels,,,,,Normal,Feature,,Backlog,"Backend, Frontend",,,Allow users to apply labels to tests and filter the test list by those labels.,
,TMD,,Function usage visibility,,,,,Normal,Feature,,Backlog,"Backend, Frontend",,,Show which tests use a reusable function so users can understand the impact of changing it.,
,TMD,,Plain-English test steps,,,,,Normal,Feature,,Backlog,"Backend, Frontend",,,Represent test actions and assertions as readable plain-English steps so non-developers can understand what a test does.,
,TMD,,Record test flow,,,,,Normal,Feature,,Backlog,"Backend, Frontend",,,Allow a user to record a browser workflow and turn the recorded interaction into a test made up of understandable steps.,
,TMD,,Reusable functions,,,,,Normal,Feature,,Backlog,"Backend, Frontend",,,Allow common workflows such as login to be extracted into reusable functions that can be used by multiple tests.,
,TMD,,Run tests locally,,,,,Normal,Feature,,Backlog,"Backend, Frontend",,,Allow users to execute tests locally and see the browser running the workflow on their own machine.,
,TMD,,Selector management,,,,,Normal,Feature,,Backlog,"Backend, Frontend",,,Provide a clear view of selectors used by tests and the actions or steps that depend on them.,
,TMD,,Single-user projects,,,,,Normal,Feature,,Backlog,"Backend, Frontend",,,Allow a user to organise tests into projects without introducing team collaboration or multi-user permissions in the MDP.,
,TMD,,Step screenshots,,,,,Normal,Feature,,Backlog,"Backend, Frontend",,,Capture and display screenshots for executed steps so users can see what the browser looked like when the step ran.,
,TMD,,Step-level failure details,,,,,Normal,Feature,,Backlog,"Backend, Frontend",,,Show exactly which plain-English step failed and provide the failure information needed to diagnose it.,
,TMD,,Test run history,,,,,Normal,Feature,,Backlog,"Backend, Frontend",,,"Show previous test runs with their overall status, duration and individual step results.",
,TMD,,Test search,,,,,Normal,Feature,,Backlog,"Backend, Frontend",,,"Allow users to quickly find tests, functions and other test assets without navigating through files or source code.",
,TMD,,Test suite health overview,,,,,Normal,Feature,,Backlog,"Backend, Frontend",,,"Provide a simple overview of passing, failing and unstable tests so users can understand the current health of their test suite.",
,TMD,,Consistent test run result model,,,,,Normal,Feature,,Backlog,"API, Backend, Frontend",,,"Use a consistent result model across local UI runs and API-triggered CI/CD runs so status, steps and screenshots are represented consistently.",
,TMD,,End-to-end test lifecycle,,,,,Normal,Feature,,Backlog,"API, Backend, Frontend",,,"Connect test creation, storage, execution, results and API access into one consistent lifecycle so the same test can be managed in the UI or integrated into CI/CD.",
