Issue Id,Project,Tags,Summary,Reporter,Created,Updated,Resolved,Priority,Type,Assignee,Stage,Component,Spent time,Estimation,Description,Votes
1,Testmate - Development,,Create base recorder,Rohit Pai,31/07/2026 19:55,02/08/2026 19:30,02/08/2026 16:55,Normal,Feature,rohit.p,Done,Studio,,,"Create a basic firefox extension that will record the given user actions, save it to an array and then display them in a list.

Current example:

![](image.png){width=70%}",0
2,Testmate - Development,,"Add the ability to pause, stop, and clear the recorder",Rohit Pai,31/07/2026 20:05,02/08/2026 19:30,31/07/2026 20:05,Normal,Feature,rohit.p,Done,Studio,,,The user should be able to pause the recording and resume it. This means that when it is puased; clicking on the screen will add new steps in the recorder. The user should also be able to stop the recording so the rocrding is finished. The user should also be able to clear the recorded steps to start over.,0
3,Testmate - Development,,Add the ability to reorder the lines,Rohit Pai,02/08/2026 19:08,09/08/2026 21:28,02/08/2026 19:24,Normal,Feature,rohit.p,Done,Studio,,,"After recording, the user should be able to reorder the lines in case of a mistake or other reasons. The order is saved automatically. There should be a draggable button on the left of the line that allows you to move it up and down.",0
4,Testmate - Development,,Add the ability to clear the data before recording,Rohit Pai,02/08/2026 19:27,02/08/2026 19:31,02/08/2026 19:28,Normal,Feature,rohit.p,Done,Studio,,,The user should be able to check a checkbox which should clear the data of the url in the browser so that they can start from a clean start before recording.,0
5,Testmate - Development,,Create the V1 studio extension,Rohit Pai,02/08/2026 19:30,10/08/2026 23:24,,Critical,Epic,rohit.p,In Progress,Studio,,,"Create the V1 studio extension with the ability to record, make changes, debug and run the test case. ",0
6,Testmate - Development,,Add the ability select multiple lines at once,Rohit Pai,02/08/2026 21:34,09/08/2026 21:28,06/08/2026 20:48,Normal,Feature,rohit.p,Done,Studio,,,"Add the ability to select multiple items in the recorder view so that you can perform bulk actions on them. 

![](image.png){width=70%}",0
7,Testmate - Development,,"Add the ability to cut, copy, paste, delete multiple lines.",Rohit Pai,07/08/2026 17:54,09/08/2026 20:51,08/08/2026 19:07,Normal,Feature,rohit.p,Done,Studio,,,"The user should be able to bulk select steps, then using a bulk items menu, they can cut, copy, paste, delete multiple lines. Once lines have been cut or copied, a plus icon appears above or below each line indicating whether or not the lines should be pasted there. The bulk items menu stays open until a paste has happened. Although the user should also be allowed to close the bulk items menu at any time.",0
8,Testmate - Development,,Add the ability to create a function from the recorded lines,Rohit Pai,09/08/2026 21:27,10/08/2026 22:04,,Normal,Feature,rohit.p,Backlog,Studio,,,"The user should be able to create a function by bulk selecting the lines, then click on the f(x) button on the bulk menu toolbar. Then a mini modal will appear where they can enter the name of the function and it's parameters with types. The type is optional but if not specified. The new function replaces the all selected functions in the studio editor. Once the function is placed, you can maximise or minimise the view of the function. For now the delete button deletes the entire function meaning the function would need to be recreated from scratch. Cut, Copy, Paste, Delete work exactly the same as before from the bulk menu toolbar but apply to whole function and not the lines inside. ",0
9,Testmate - Development,,Create progress document in the knowledge base for Ragu,Rohit Pai,09/08/2026 21:31,10/08/2026 21:51,,Normal,Documentation,rohit.p,In Progress,Documentation,,6,"Create a progress document in the knowledge base for ragu to see. It should include, what I did and the date it was completed. ",0
10,Testmate - Development,,Create progress document in the knowledge base for Rohit,Rohit Pai,09/08/2026 21:32,09/08/2026 21:32,,Normal,Documentation,ragu.ks,Backlog,Documentation,,,"Create a progress document in the knowledge base for Rohit to see. It should include, what I did and the date it was completed.",0
11,Testmate - Development,,Basic ability to auto recognise recorded lines as a function,Rohit Pai,09/08/2026 22:11,10/08/2026 22:05,,Normal,Feature,Unassigned,Backlog,Studio,,,"Add the ability to recognise the newly recorded lines as a potential function. So when as a user is recording, it should be able to detect if the current recorded selector happened to be part of a form, then in the background save that line into a list for that function. Then for each new recorded line continue to add that to the list. Then once the user has clicked on the submit button, the page url has changed or if any of the previous form selectors have disappeared from the page, a tool tip should appear next to the last recorded line that's part of the function to prompt if they want to replace the lines as a function. If the user chooses to replace the lines with a function then a modal appears asking them for a name, description and parameters. If they click save/submit then the same functionality happens as before. ",0
12,Testmate - Development,,Slightly more advanced ability to recognise record lines as a function,Rohit Pai,10/08/2026 22:05,10/08/2026 22:05,,Normal,Feature,Unassigned,Backlog,Studio,,,"Add the ability to recognise the newly recorded lines as a potential existing or new function. So as before it detects if the user is currently inside a form, then saves the recorded lines into a list for the function. Then when, the submit button has been clicked, the page url has changed, or if any of the previous selectors have disappeared from the page, it should automatically check if the function exists by checking if this list of lines already exist as part of a function, and if so prompt them with an option to replace the lines as a function. In the same tool tip the user can also choose to add these lines as a new function instead. To distinguish between adding a new function vs replacing one that may be in the content of the form. It is likely the form content won't be the same but the selectors will be the same or at most be very very similar. ",0
13,Testmate - Development,,Add the ability to edit recorded lines,Rohit Pai,10/08/2026 23:24,10/08/2026 23:27,,Normal,Feature,Unassigned,Backlog,Studio,,,"The user should be able to edit any recorded line after it has been created without needing to re-record the test. Clicking on a line should allow the user to modify the command, selector and values where applicable. Changes should immediately be reflected within the editor while preserving the order of the remaining lines.",0
14,Testmate - Development,,Add the ability to insert new recorded lines anywhere,Rohit Pai,10/08/2026 23:24,10/08/2026 23:27,,Normal,Feature,Unassigned,Backlog,Studio,,,The user should be able to insert newly recorded actions anywhere within an existing test instead of only recording at the end. Selecting a line and choosing Insert Recording should temporarily resume recording and place the newly recorded actions directly after the selected line before returning to edit mode.,0
15,Testmate - Development,,Add undo and redo support,Rohit Pai,10/08/2026 23:24,10/08/2026 23:27,,Normal,Feature,Unassigned,Backlog,Studio,,,"The Studio should maintain a history of editing operations allowing the user to undo and redo changes. Recording actions, edits, function creation, line movement and deletions should all be reversible.",0
16,Testmate - Development,,Add breakpoints to recorded lines,Rohit Pai,10/08/2026 23:24,10/08/2026 23:27,,Normal,Feature,Unassigned,Backlog,Studio,,,The user should be able to place breakpoints on individual recorded lines. During execution the runner should pause before executing a line containing a breakpoint allowing the user to inspect the current state before continuing execution.,0
17,Testmate - Development,,Add step-by-step debugging,Rohit Pai,10/08/2026 23:24,10/08/2026 23:27,,Normal,Feature,Unassigned,Backlog,Studio,,,"While execution is paused, the user should be able to continue execution one line at a time, continue until the next breakpoint or stop execution entirely. The currently executing line should remain highlighted throughout debugging.",0
18,Testmate - Development,,Add the ability to run tests directly from the Studio,Rohit Pai,10/08/2026 23:24,10/08/2026 23:27,,Normal,Feature,Unassigned,Backlog,Studio,,,The user should be able to execute the currently open test directly from the Studio without leaving the editor. Execution progress should be displayed in real time and the currently executing line should be highlighted as the test runs.,0
19,Testmate - Development,,Add the ability to run selected lines,Rohit Pai,10/08/2026 23:24,10/08/2026 23:27,,Normal,Feature,Unassigned,Backlog,Studio,,,The user should be able to execute only the currently selected lines to validate changes without needing to execute the entire test. Any required setup should be performed automatically where possible before execution begins.,0
20,Testmate - Development,,Add the ability to run from a selected line,Rohit Pai,10/08/2026 23:24,10/08/2026 23:27,,Normal,Feature,Unassigned,Backlog,Studio,,,The user should be able to begin execution from any selected line within the Studio. This allows the user to continue testing after making changes without needing to rerun the entire test from the beginning.,0
21,Testmate - Development,,Add selector preview and validation,Rohit Pai,10/08/2026 23:24,10/08/2026 23:27,,Normal,Feature,Unassigned,Backlog,Studio,,,"When editing a selector, the Studio should validate the selector against the current page and visually highlight the matching element. If multiple elements or no elements are matched, the Studio should clearly indicate the result before the selector is saved.",0
